article,template,kind,identifier,claimed_title,verdict,authority,detail
Cable bacteria,journal,doi,10.1128/aem.01064-15,Cable Bacteria in Freshwater Sediments,verified,crossref,title matches record (100% similarity)
Cable bacteria,journal,doi,10.1038/ismej.2015.250,Long-distance electron transfer by cable bacteria in aquifer sediments,verified,crossref,title matches record (100% similarity)
Cable bacteria,journal,doi,10.1038/ismej.2013.239,Succession of cable bacteria and electric currents in marine sediment,verified,crossref,title matches record (100% similarity)
Collyridini,journal,doi,10.1111/syen.12440,"Validation of tiger beetles as distinct family (Coleoptera: Cicindelidae), review and reclassification of tribal relationships",verified,crossref,title matches record (100% similarity)
Azar Bigdeli,book,bibliographic,,"A History of Literary Criticism in Iran, 1866–1951: Literary Criticism in the Works of Enlightened Thinkers of Iran--Akhundzadeh, Kermani, Malkom, Talebof, Maragheʼi, Kasravi, and Hedayat",not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
Azar Bigdeli,book,bibliographic,,Safavid Persia in the Age of Empires: The Idea of Iran Vol. 10,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Local and Transregional Places in the Works of Safavid Men of Letters' at 61% similarity, below the threshold for a match."
Azar Bigdeli,journal,doi,10.1163/18747167-12341326,Betrayed by Earth and Sky: Poetry of Disaster and Restoration in Eighteenth-Century Iran,verified,crossref,title matches record (100% similarity)
Azar Bigdeli,book,bibliographic,,The Persianate World,verified,crossref,matched a Crossref record by title search (82% similarity); no DOI given in document
Azar Bigdeli,book,bibliographic,,Rethinking Iranian Nationalism and Modernity,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Nationalism, modernism and Islam in the writings of Talibov‐i Tabrizi' at 64% similarity, below the threshold for a match."
Azar Bigdeli,book,bibliographic,,Persianate Selves: Memories of Place and Origin Before Nationalism,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Colpochila aquila,web,bibliographic,,Global Biodiversity Information Facility,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Colpochila aquila,web,bibliographic,,Colpochila aquila at Catalogue of Life,not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
Colpochila aquila,journal,bibliographic,,A revision of the Australian chafers (Coleoptera: Scarabaeidae: Melolonthinae). Vol. 4. Tribe Liparetrini: Genus Colpochila.,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Ethylidene norbornene,journal,doi,10.1002/(sici)1099-1263(199707)17:43.0.co;2-x,Comparative acute toxicity and primary irritancy of the ethylidene and vinyl isomers of norbornene,not_found,crossref+openalex,Neither Crossref nor OpenAlex holds a record for this DOI. Two independent indexes have no registration for it.
Jock Willis Shipping Line,book,bibliographic,,A Mariner's Miscellany,not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
Jock Willis Shipping Line,book,bibliographic,,"John Willis and the ""Cutty Sark"" Tea Clipper",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'A History of the Jorehaut Tea Co., Ltd., 1859–1946. By H. A. Antrobus. London: Tea and Rubber Mail, 1948. Pp. 368. 21<i>s</i>.' at 42% similarity, below the threshold for a match."
Jock Willis Shipping Line,book,bibliographic,,The Great Days of Sail: Reminiscences of a Tea-clipper Captain,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'The National Type Culture Collection of Marine Bacteria in Great Britain' at 60% similarity, below the threshold for a match."
Jock Willis Shipping Line,web,bibliographic,,History of the Cutty Sark,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Jock Willis Shipping Line,journal,doi,10.1080/00253359.1972.10658681,John Willis & Sons (1830-1899),verified,crossref,title matches record (100% similarity)
Jock Willis Shipping Line,web,bibliographic,,Oil painting - Ship Portrait - Demerara Planter,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Oil Portrait Painting Samples' at 84% similarity, below the threshold for a match."
Jock Willis Shipping Line,book,bibliographic,,"The Tea Clippers, Their History and Development 1833-1875",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'SOME EARLY BRITISH TEA-CLIPPERS' at 56% similarity, below the threshold for a match."
Jock Willis Shipping Line,book,bibliographic,,"The log of the ""Cutty Sark""",not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
Spiral artery,journal,doi,10.1136/jcp.29.suppl_10.9,Uteroplacental vasculature,verified,crossref,title matches record (100% similarity)
Spiral artery,journal,doi,10.1016/j.placenta.2009.02.009,Rheological and physiological consequences of conversion of the maternal spiral arteries for uteroplacental blood flow during human pregnancy,verified,crossref,title matches record (100% similarity)
1970 Canada hurricane,journal,doi,10.1175/1520-0493(1971)0992.3.co;2,The unnamed Atlantic Tropical Storms Of 1970,not_found,crossref+openalex,Neither Crossref nor OpenAlex holds a record for this DOI. Two independent indexes have no registration for it.
1970 Canada hurricane,report,bibliographic,,Special Bulletin,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Rethinking the Role of the Special Needs Co-ordinator: the Quality Assurer' at 61% similarity, below the threshold for a match."
1970 Canada hurricane,news,bibliographic,,Winds Lash Bermudians,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'The Lash' at 67% similarity, below the threshold for a match."
Oceanobacillus,book,bibliographic,,Bergey's manual of systematic bacteriology.,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Bergey??s Manual of Determinative Bacteriology' at 87% similarity, below the threshold for a match."
Oceanobacillus,journal,doi,10.1016/j.aquaculture.2021.737156,Identification of marine sponge-associated bacteria of the Saint Martin's island of the Bay of Bengal emphasizing on the prevention of motile Aeromonas septicemia in Labeo rohita,verified,crossref,title matches record (100% similarity)
Oceanobacillus,web,bibliographic,,LTP_all tree in newick format,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Data S2: MEGA software phylogenetic tree in newick format' at 84% similarity, below the threshold for a match."
Oceanobacillus,web,bibliographic,,LTP_10_2024 Release Notes,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'LTP Prod Release Test. (Preprint)' at 62% similarity, below the threshold for a match."
Oceanobacillus,web,bibliographic,,GTDB release 09-RS220,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Updating the unnamed: over 20,000 new Candidatus names for unnamed taxa in GTDB release r214' at 73% similarity, below the threshold for a match."
Oceanobacillus,web,bibliographic,,bac120_r220.sp_labels,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Schweizer Börse schließt Übernahme der spanischen Börse ab' at 24% similarity, below the threshold for a match."
Oceanobacillus,journal,doi,10.1099/ijs.0.64375-0,"Oceanobacillus profundus sp. nov., isolated from a deep-sea sediment core.",verified,crossref,title matches record (100% similarity)
Oceanobacillus,journal,doi,10.4056/sigs.4267953,Non-contiguous finished genome sequence and description of Oceanobacillus massiliensis sp. nov.,verified,crossref,title matches record (100% similarity)
Persephonella marina,journal,doi,10.1099/00207713-52-4-1349,"Persephonella marina gen. nov., sp. nov. and Persephonella guaymasensis sp. nov., two novel, thermophilic, hydrogen-oxidizing microaerophiles from deep-sea hydrothermal vents.",verified,crossref,title matches record (100% similarity)
Persephonella marina,journal,doi,10.1128/jb.01645-08,Complete and Draft Genome Sequences of Six Members of the Aquificales,verified,crossref,title matches record (100% similarity)
Persephonella marina,journal,doi,10.1128/jb.00841-06,Glucosylglycerate Biosynthesis in the Deepest Lineage of the Bacteria: Characterization of the Thermophilic Proteins GpgS and GpgP from Persephonella marina,verified,crossref,title matches record (100% similarity)
Persephonella marina,journal,doi,10.1007/s00792-012-0500-x,Organic solutes in the deepest phylogenetic branches of the Bacteria: identification of α(1–6)glucosyl-α(1–2)glucosylglycerate in Persephonella marina,verified,crossref,title matches record (100% similarity)
Gottfried van Swieten,book,bibliographic,,Letters to Beethoven and Other Correspondence,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Beethoven Briefe' at 72% similarity, below the threshold for a match."
Gottfried van Swieten,web,bibliographic,,1780: The Oldest Card Catalogue,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'The oldest woman in America' at 56% similarity, below the threshold for a match."
Gottfried van Swieten,book,bibliographic,,Mozart in Vienna,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Mozart und die Freimaurerei' at 56% similarity, below the threshold for a match."
Gottfried van Swieten,book,bibliographic,,Mozart and His Circle,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Brahms and His World' at 59% similarity, below the threshold for a match."
Gottfried van Swieten,book,bibliographic,,Beethoven and His World: A Biographical Dictionary,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Gottfried van Swieten,book,bibliographic,,"Beethoven and the Construction of Genius: Musical Politics in Vienna, 1792–1803",verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Gottfried van Swieten,book,bibliographic,,Mozart: A Documentary Biography,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Gottfried van Swieten,book,bibliographic,,The New Cambridge Modern History,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Frontmatter' at 23% similarity, below the threshold for a match."
Teaching games for understanding,journal,doi,10.1080/07303084.1996.10607176,teaching games for understanding,verified,crossref,title matches record (100% similarity)
Teaching games for understanding,journal,doi,10.3390/ijerph17093330,The Application of the Teaching Games for Understanding in Physical Education. Systematic Review of the Last Six Years,verified,crossref,title matches record (100% similarity)
Teaching games for understanding,web,bibliographic,,Teaching Games for Understanding (TGfU) Approach,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Ecological Thinking and TGfU: Understanding Games as Complex Adaptive Systems' at 69% similarity, below the threshold for a match."
Teaching games for understanding,book,bibliographic,,"Teaching Games for Understanding: Theory, Research, and Practice",verified,crossref,matched a Crossref record by title search (92% similarity); no DOI given in document
Viriato Díaz Pérez,book,bibliographic,,Who's who in Latin America,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Viriato Díaz Pérez,news,bibliographic,,Minstrel of Magical Strings,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'A Bach Suite for Strings' at 55% similarity, below the threshold for a match."
Viriato Díaz Pérez,book,bibliographic,,Historia de la literatura paraguaya,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Historia Crítica de la Literatura Chilena' at 83% similarity, below the threshold for a match."
Viriato Díaz Pérez,journal,doi,10.15581/008.31.1552,'Ráfagas de afuera' : la difusión del simbolismo europeo en Renacimiento (1907),verified,crossref,title matches record (100% similarity)
Beartown State Forest,web,bibliographic,,2012 Acreage Listing,not_found,crossref+openalex,"no indexed record matches this description. Closest was '2012 offshore petroleum exploration acreage release' at 75% similarity, below the threshold for a match."
Beartown State Forest,web,bibliographic,,Beartown State Forest,not_found,crossref+openalex,"no indexed record matches this description. Closest was '5987 state forest/national forest [n] [US]/State Forest [n] [UK]' at 73% similarity, below the threshold for a match."
Beartown State Forest,journal,doi,10.1656/1092-6194(2006)13[495:neomof]2.0.co;2,New Estimates of Massachusetts Old-growth Forests,verified,crossref,title matches record (100% similarity)
Beartown State Forest,web,bibliographic,,The Civilian Conservation Corps: A Statewide Survey of Civilian Conservation Corps Resources,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Sarah Clarke (cardiologist),web,bibliographic,,Sarah Catherine Clarke,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Sarah Clarke (cardiologist),journal,doi,10.1136/bmj.h2878,Sarah Clarke Determined and convivial,verified,crossref,title matches record (100% similarity)
Sarah Clarke (cardiologist),web,bibliographic,,Making a difference,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Sarah Clarke (cardiologist),web,bibliographic,,"Girton Alumna, Dr Sarah Clarke, becomes fourth female President of Royal College of Physicians",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Clarke, Dr Sarah Catherine, ( born 2 April 1965), Consultant Interventional Cardiologist, since 2002 and Clinical Director, Strategic Development, since 2012, Royal Papworth Hospital; Clinical Vice President, Royal College of Physicians, London, 2019–22' at 75% similarity, below the threshold for a match."
Sarah Clarke (cardiologist),web,bibliographic,,Sebastian John Campbell Alexander,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Orde, Sir John (Alexander) Campbell-, (born 11 May 1943)' at 82% similarity, below the threshold for a match."
Sarah Clarke (cardiologist),news,bibliographic,,Awards and Fellowships Spring General Meeting 2019,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Sarah Clarke (cardiologist),web,bibliographic,,Dr Sarah Clarke,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Sarah Clarke (cardiologist),web,bibliographic,,Our Board of Trustees,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Bryolymnia viridata,web,bibliographic,,"932247.00 – 9296 – Bryolymnia viridata (Harvey, 1876)",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Harvey, Sir George (1806–1876)' at 58% similarity, below the threshold for a match."
Bryolymnia viridata,web,bibliographic,,Species Bryolymnia viridata - Hodges#9296,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Congruence Between Species and Language Diversity' at 48% similarity, below the threshold for a match."
Bryolymnia viridata,journal,doi,10.3897/zookeys.39.437,"A revision of the genus Bryolymnia Hampson in North America with descriptions of three new species (Lepidoptera, Noctuidae, Noctuinae, Elaphriini)",verified,crossref,title matches record (100% similarity)
Pachymerium antipai,web,bibliographic,,"Pachymerium antipai Căpuşe, 1968",not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
Pachymerium antipai,journal,bibliographic,,Clasa Chilopoda Subclasa Epimorpha,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'ON SOME CHILOPODA FROM THE AWASH NATIONAL PARK (SHOA, ETHIOPIA)' at 51% similarity, below the threshold for a match."
Pachymerium antipai,journal,doi,10.11646/zootaxa.5406.4.7,"A review of the genus Pachymerium C. L. Koch, 1847 (Geophilomorpha: Geophilidae) from Romania",verified,crossref,title matches record (100% similarity)
George Clark (historian),news,bibliographic,,Sir George Clark.,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
George Clark (historian),web,bibliographic,,Sir George Norman Clark,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
George Clark (historian),book,bibliographic,,The Birth of the Dutch Republic,verified,crossref,matched a Crossref record by title search (80% similarity); no DOI given in document
George Clark (historian),web,bibliographic,,"CLARK, Sir (27/02/1890-06/02/1979)",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Clark, Sir George Norman (1890–1979)' at 81% similarity, below the threshold for a match."
George Clark (historian),journal,bibliographic,,Changes in the Membership 1979–1980,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
George Clark (historian),book,bibliographic,,Trinity College Dublin Record Volume 1991,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'The herbarium of Trinity College, Dublin: its history and contents' at 70% similarity, below the threshold for a match."
Death or departure of the gods,journal,bibliographic,,Osiris and the Deceased,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Death or departure of the gods,journal,bibliographic,,Osiris and the Deceased,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Death or departure of the gods,journal,doi,10.18874/jjrs.18.1.1991.3-22,Visions of Excess and Excesses of Vision: Women and Transgression in Japanese Myth,verified,crossref,title matches record (100% similarity)
Talbot Heath School,web,bibliographic,,Talbot Heath is a leading independent through school in Dorset that offers girls aged 2-18 an outstanding education within a strong and supportive community.,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Parents and Christian education: The experiment at Talbot Heath school' at 65% similarity, below the threshold for a match."
Talbot Heath School,web,bibliographic,,The history of Talbot Heath Boarding School for Girls & Archive,verified,crossref,matched a Crossref record by title search (95% similarity); no DOI given in document
Talbot Heath School,web,bibliographic,,Welcome from the Head - Talbot Heath Independent School for Girls,not_found,crossref+openalex,"no indexed record matches this description. Closest was ""Administration of an independent girls' school : the academic and administrative organization of the Junior School Fintona Girls' School, 1978-1979"" at 62% similarity, below the threshold for a match."
Talbot Heath School,book,bibliographic,,An Encyclopedia of Women Artists of the American West,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'North American Women Artists of the Twentieth Century: A Biographical Dictionary' at 73% similarity, below the threshold for a match."
Talbot Heath School,news,bibliographic,,University Intelligence,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Talbot Heath School,news,bibliographic,,Archbishop of York opens Talbot Heath School,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Parents and Christian education: The experiment at Talbot Heath school' at 60% similarity, below the threshold for a match."
Talbot Heath School,web,bibliographic,,Pictures: The school that shocked Victorian Bournemouth: Talbot Heath turns 130,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'CATALOGUE RAISONNÉ OF ATTRIBUTED PICTURES AND SCHOOL-PIECES' at 51% similarity, below the threshold for a match."
Talbot Heath School,web,bibliographic,,Talbot Heath Pupil Stars in BBC's Cookery Showdown,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Author Correction: Robust estimation of bacterial cell count from optical density' at 40% similarity, below the threshold for a match."
Margaret E. B. Simpson,journal,bibliographic,,Marguerite Wood and Margaret Simpson,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Margaret E. B. Simpson,journal,doi,10.1177/1461957109339702,Gordon Childe and Scottish Archaeology: The Edinburgh Years 1927–1946,verified,crossref,title matches record (100% similarity)
Margaret E. B. Simpson,journal,doi,10.3366/saj.2019.0110,"Marguerite Wood and Margaret Simpson, two pioneering Scottish women",verified,crossref,title matches record (100% similarity)
Margaret E. B. Simpson,news,bibliographic,,Skara Brae women archaeologists who were written out of history,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Margaret E. B. Simpson,news,bibliographic,,Rediscovering the women buried by history,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Women in Prison and Women in Dressing Gowns: Rediscovering the 1950s films of J. Lee Thompson' at 72% similarity, below the threshold for a match."
Margaret E. B. Simpson,web,bibliographic,,Internet Sleuths Were on the Case to Name the Women Archaeologists in These Excavation Photos,not_found,crossref+openalex,"no indexed record matches this description. Closest was ""Speaking out against the ‘Talking Cure’: Unmarried women in Freud's early case studies"" at 53% similarity, below the threshold for a match."
Margaret E. B. Simpson,journal,bibliographic,,"Excavations in a Chambered Cairn at Kindrochat, near Comrie, Perthshire",verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Margaret E. B. Simpson,book,bibliographic,,Stirling Castle,not_found,crossref+openalex,"no indexed record matches this description. Closest was ""Lorimer's Castle Restorations"" at 57% similarity, below the threshold for a match."
Apollodorus of Damascus,web,bibliographic,,Apollodorus of Damascus,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Apollodorus of Damascus,book,bibliographic,,Tra Damasco e Roma: L'architettura di Apollodoro nella cultura classica,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'A prova del tempo nella vita delle opere di architettura' at 59% similarity, below the threshold for a match."
Apollodorus of Damascus,book,bibliographic,,"The History of the Library in Western Civilization, Volume II: From Cicero to Hadrian",verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Apollodorus of Damascus,journal,bibliographic,,"Fiorella Festa Farina, Tra Damasco e Roma. L'architettura di Apollodoro nella cultura classica Roma:""L'Erma"" di Bretschneider, 2001",not_found,crossref+openalex,"no indexed record matches this description. Closest was ""An exhibition catalogue and a conference on Ostia - \n            JEAN-PAUL DESCŒUDRES (sous la direction de), OSTIA, PORT ET PORTE DE LA ROME ANTIQUE (Catalogue de l'Exposition, 23 février - 22 juillet 2001, Musée Rath, Genève). Pp. xvi + 465, many figs. including colour. ISBN 2-8306-0190-4; 2-8257-0728-7. - \n            CHRISTER BRUUN e ANNA GALLINA ZEVI (a cura di), OSTIA E PORTUS NELLE LORO RELAZIONI CON ROMA. ATTI DEL CONVEGNO ALL'INSTITUTUM ROMANUM FINLANDIAE, 3 E 4 DICEMBRE 1999 (Acta Instituti Romani Finlandiae vol. 27, Roma \n "
Apollodorus of Damascus,book,bibliographic,,Greek and Roman Military Writers: Selected readings,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Apollodorus of Damascus,book,bibliographic,,Apollodorus of Damascus and Trajan's Column: From Tradition to Project,not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
Apollodorus of Damascus,book,bibliographic,,Engineers From the Great Pyramids to the Pioneers of Space Travel,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'The Riddle of the Great Pyramids' at 86% similarity, below the threshold for a match."
Apollodorus of Damascus,book,bibliographic,,Apollodorus of Damascus and Trajan's Column: From Tradition to Project,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'From Tradition to Practice: Investigating Wasta’s Bonding and Bridging Roles in Modern Saudi Networks' at 51% similarity, below the threshold for a match."
Calling party pays,book,doi,10.1109/netsys.2013.13,2013 Conference on Networked Systems,verified,crossref,title similarity low (33%) but authors agree (100%) — likely the same work recorded differently
Calling party pays,journal,doi,10.1016/j.infoecopol.2010.09.001,Calling party pays or receiving party pays? The diffusion of mobile telephony with endogenous regulation,verified,crossref,title matches record (100% similarity)
Kimera of Buganda,web,bibliographic,,Ba Kabaka ba Buganda,verified,crossref,matched a Crossref record by title search (90% similarity); no DOI given in document
Kimera of Buganda,web,bibliographic,,Buganda Kingdom::,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Kimera of Buganda,journal,doi,10.2307/3171765,The Kinglists of Buganda*,verified,crossref,title matches record (100% similarity)
Kimera of Buganda,web,bibliographic,,List of Buganda Kings,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Anglican Clergy Houses: List of houses in Buganda, 1931' at 83% similarity, below the threshold for a match."
Kimera of Buganda,web,bibliographic,,"Men and women are equal, but not uniform",not_found,crossref+openalex,"no indexed record matches this description. Closest was '6. “All men and women are created equal”' at 77% similarity, below the threshold for a match."
Kimera of Buganda,book,bibliographic,,"Myth, ritual, and kingship in Buganda",verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Kimera of Buganda,web,bibliographic,,The Early History of Kabaka Kimera,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Kimera of Buganda,book,bibliographic,,The Customs of the Baganda,not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
Diaporthe phaseolorum var. phaseolorum,journal,doi,10.3767/003158511x603719,Resolving the Diaporthe species occurring on soybean in Croatia,verified,crossref,title matches record (100% similarity)
Host (psychology),web,bibliographic,,Understanding Multiple Personality Disorders,verified,crossref,matched a Crossref record by title search (100% similarity); no DOI given in document
Host (psychology),book,bibliographic,,Childhood antecedents of multiple personality,not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
Host (psychology),journal,doi,10.1300/j229v06n04_05,Guidelines for Treating Dissociative Identity Disorder in Adults (2005),verified,crossref,title matches record (100% similarity)
Host (psychology),journal,doi,10.1300/j229v03n01_06,EEG Coherence and Dissociative Identity Disorder,verified,crossref,title matches record (100% similarity)
Astaena acuticollis,web,bibliographic,,Astaena acuticollis at Catalogue of Life,not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
Astaena acuticollis,journal,bibliographic,,"Synopsis der südamerikanischen Sericinen (Col., Scarab., Melolonth.).",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Neue Sericinen Aus dem Nordöstlichen Himalaya (Col. Melolonth.)' at 63% similarity, below the threshold for a match."
Hurricane Lester (1992),report,bibliographic,,"Preliminary Report: Hurricane Lester August 20 – 24, 1992",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Atlantic Hurricane Season of 1983' at 49% similarity, below the threshold for a match."
Hurricane Lester (1992),report,bibliographic,,Tropical Depression Fourteen-E Discussion One,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Wind Probabilities and Tropical Cyclone Readiness Conditions.' at 51% similarity, below the threshold for a match."
Hurricane Lester (1992),web,bibliographic,,Tropical Depression Fourteen-E Discussion Three,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'A Comparison of Three Strains of Trichinella Spiralis' at 47% similarity, below the threshold for a match."
Hurricane Lester (1992),web,bibliographic,,Tropical Storm Lester Discussion Ten,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Comments on “Structure and Evolution of a Possible U.S. Landfalling Tropical Storm in 2006”' at 56% similarity, below the threshold for a match."
Hurricane Lester (1992),journal,doi,10.1175/1520-0493(1994)1222.0.co;2,Eastern North Pacific Hurricane Season of 1992,not_found,crossref+openalex,Neither Crossref nor OpenAlex holds a record for this DOI. Two independent indexes have no registration for it.
Hurricane Lester (1992),web,bibliographic,,The extratropical transitions of eastern Pacific Hurricane Lester (1992) and Atlantic Hurricane Andrew (1992),not_found,crossref+openalex,"no indexed record matches this description. Closest was 'The Convective Evolution and Rapid Intensification of Hurricane Earl (2010)' at 58% similarity, below the threshold for a match."
Hurricane Lester (1992),web,bibliographic,,Today in Florida's History,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'AVOCATIONAL PALEONTOLOGY OUTREACH AND EDUCATION IN SOUTHERN FLORIDA: EFFORTS BY THE SOUTHWEST FLORIDA FOSSIL SOCIETY' at 56% similarity, below the threshold for a match."
Hurricane Lester (1992),news,bibliographic,,Hurricane Lester kills 3 in Mexico,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'HHS Supports Medical Response to Hurricane Katrina' at 55% similarity, below the threshold for a match."
Treatise on Natural Philosophy,journal,doi,10.1038/007399a0,Elements of Natural Philosophy,verified,crossref,title matches record (100% similarity)
Treatise on Natural Philosophy,journal,doi,10.1038/020213a0,Thomson and Tait's Natural Philosophy,verified,crossref,title matches record (100% similarity)
Treatise on Natural Philosophy,journal,doi,10.1038/046247b0,The Grammar of Science,verified,crossref,title matches record (100% similarity)
Cheonggukjang,journal,doi,10.1186/s42779-019-0004-8,"The history and science of Chongkukjang, a Korean fermented soybean product",verified,crossref,title matches record (100% similarity)
Light green SF,web,bibliographic,,"Light Green SF, Yellowish (Certified Biological Stain), Fisher Chemical",not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Report from the Biological Stain Commission Laboratory Light Green SF Yellowish' at 76% similarity, below the threshold for a match."
Light green SF,web,bibliographic,,Papanicolaou Staining (Pap Stain) For Pap Smear / Pap Test,not_found,crossref+openalex,"no work matching this description appears in either Crossref or OpenAlex. Note that coverage of books, government reports and grey literature is incomplete even in OpenAlex, so this is evidence, not proof."
Light green SF,journal,doi,10.1021/ed100545v,"A Global Perspective on the History, Use, and Identification of Synthetic Food Dyes",verified,crossref,title matches record (100% similarity)
Light green SF,book,bibliographic,,H. J. Conn's Biological stains,verified,crossref,matched a Crossref record by title search (86% similarity); no DOI given in document
Television antenna,web,bibliographic,,Tips & Tricks Aerials,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'Tips and Tricks' at 85% similarity, below the threshold for a match."
Television antenna,book,bibliographic,,Monochrome And Colour Television,not_found,crossref+openalex,"no indexed record matches this description. Closest was 'E (B-V) determination from an UV-visual two-colour diagram: O and B stars in the catalogue of stellar ultraviolet fluxes' at 48% similarity, below the threshold for a match."
